complaint_id,date,product,complaint_type,taste_score,resolved,resolution_days,delivery_time,source_channel,complaint_severity,customer_rating_after_resolution
CMP011281,2025-06-17,Ghee,Spoiled Products,4.7,No,,19.6,Low,Medium,
CMP011282,2025-07-01,Lassi,Taste Issue,4.6,Yes,3.0,17.9,Medium,Medium,3.5
CMP011283,2025-02-21,Lassi,Taste Issue,1.3,No,,20.7,Low,Medium,
CMP011284,2024-08-29,Paneer,Taste Issue,3.7,No,,13.1,High,Low,
CMP011285,2025-01-22,Ghee,Late Delivery,1.1,No,,18.4,Medium,Low,
CMP011286,2024-08-14,Curd,Taste Issue,3.3,Yes,3.0,8.2,Medium,Medium,4.9
CMP011287,2024-09-04,Ghee,Spoiled Products,1.4,No,,23.0,High,Medium,
CMP011288,2025-01-04,Ghee,Packaging Issue,2.7,Yes,6.0,21.3,Medium,High,3.5
CMP011289,2024-10-29,Milk,Taste Issue,3.2,Yes,5.0,9.2,Low,Low,3.3
CMP011290,2025-05-11,Lassi,Spoiled Products,2.9,Yes,5.0,9.9,Low,Low,4.0
CMP011291,2024-08-30,Ghee,Late Delivery,2.6,No,,19.8,Low,High,
CMP011292,2025-07-21,Curd,Bad Smell,3.9,Yes,0.0,23.3,Low,Low,3.2
CMP011293,2025-07-08,Curd,Bad Smell,3.1,No,,17.7,Low,Medium,
CMP011294,2025-02-21,Lassi,Bad Smell,1.4,No,,14.0,Low,Low,
CMP011295,2025-05-30,Lassi,Spoiled Products,2.3,No,,6.5,Low,Medium,
CMP011296,2025-03-30,Ghee,Spoiled Products,1.2,Yes,2.0,11.1,Low,High,4.3
CMP011297,2025-01-26,Curd,Bad Smell,3.1,No,,8.0,Medium,Low,
CMP011298,2025-01-05,Curd,Packaging Issue,3.1,Yes,3.0,9.8,Low,Low,4.9
CMP011299,2024-10-20,Ghee,Spoiled Products,4.0,No,,4.8,Low,High,
CMP011300,2024-11-13,Milk,Spoiled Products,3.1,Yes,4.0,10.3,Low,Medium,4.0
CMP011301,2025-05-27,Ghee,Taste Issue,1.6,Yes,4.0,15.4,Low,Low,3.8
CMP011302,2025-07-02,Curd,Taste Issue,4.1,No,,16.5,Low,Low,
CMP011303,2024-12-08,Lassi,Taste Issue,3.7,No,,23.0,Low,Low,
CMP011304,2025-04-20,Curd,Taste Issue,2.5,No,,11.5,Low,Medium,
CMP011305,2024-10-31,Lassi,Late Delivery,3.0,No,,4.9,Low,Medium,
CMP011306,2025-05-31,Paneer,Bad Smell,3.1,Yes,1.0,23.1,Low,Low,3.5
CMP011307,2025-01-28,Lassi,Late Delivery,3.5,Yes,7.0,6.3,Low,Medium,3.4
CMP011308,2025-04-18,Lassi,Late Delivery,4.3,Yes,3.0,20.3,Medium,Low,3.0
CMP011309,2025-07-27,Milk,Late Delivery,4.6,Yes,4.0,14.2,Low,Low,4.6
CMP011310,2025-07-29,Curd,Packaging Issue,4.7,No,,5.4,Medium,Medium,
CMP011311,2024-08-25,Curd,Bad Smell,2.6,Yes,1.0,18.6,Low,Medium,4.1
CMP011312,2025-02-28,Curd,Late Delivery,1.8,No,,23.8,Low,Low,
CMP011313,2025-01-26,Lassi,Packaging Issue,2.5,Yes,5.0,23.6,Low,Medium,4.6
CMP011314,2024-09-28,Curd,Spoiled Products,4.1,Yes,7.0,14.0,Low,Low,3.9
CMP011315,2025-07-04,Milk,Bad Smell,2.8,Yes,7.0,11.7,High,Low,3.3
CMP011316,2025-05-24,Lassi,Bad Smell,2.5,Yes,0.0,4.8,Medium,Medium,4.6
CMP011317,2025-07-04,Milk,Bad Smell,1.3,Yes,5.0,23.0,Low,Medium,4.0
CMP011318,2025-06-29,Curd,Taste Issue,2.4,Yes,1.0,4.1,Low,Low,4.0
CMP011319,2025-06-05,Paneer,Taste Issue,2.9,No,,5.6,Low,High,
CMP011320,2025-02-18,Ghee,Packaging Issue,4.1,No,,18.5,Low,Low,
CMP011321,2025-03-15,Paneer,Spoiled Products,3.3,No,,11.1,Medium,Medium,
CMP011322,2025-06-18,Curd,Bad Smell,2.0,Yes,0.0,12.8,Medium,Low,3.2
CMP011323,2025-01-31,Lassi,Bad Smell,4.3,Yes,4.0,17.5,Medium,Medium,4.4
CMP011324,2025-04-02,Ghee,Packaging Issue,2.1,Yes,5.0,20.6,Medium,Low,4.3
CMP011325,2025-02-13,Lassi,Bad Smell,1.8,No,,23.4,Low,Low,
CMP011326,2025-01-31,Paneer,Taste Issue,2.9,Yes,6.0,16.1,Low,High,3.3
CMP011327,2025-03-31,Curd,Taste Issue,3.2,No,,23.9,Low,Low,
CMP011328,2025-05-01,Ghee,Late Delivery,1.4,Yes,4.0,10.3,Low,High,4.8
CMP011329,2025-01-08,Milk,Spoiled Products,3.4,Yes,3.0,4.5,Medium,Medium,4.3
CMP011330,2024-11-13,Paneer,Late Delivery,4.8,No,,12.3,Low,Medium,
CMP011331,2025-01-19,Curd,Packaging Issue,4.7,Yes,1.0,9.2,Low,Low,3.3
CMP011332,2025-02-11,Milk,Late Delivery,2.7,No,,9.6,Low,Low,
CMP011333,2025-07-04,Ghee,Late Delivery,4.7,No,,11.8,Medium,Low,
CMP011334,2025-06-19,Lassi,Bad Smell,1.5,Yes,2.0,18.8,Medium,Medium,3.7
CMP011335,2025-06-19,Lassi,Taste Issue,2.5,Yes,3.0,23.7,Low,Low,3.6
CMP011336,2025-06-18,Ghee,Taste Issue,3.2,No,,13.6,Low,Low,
CMP011337,2025-01-01,Milk,Packaging Issue,2.6,Yes,3.0,4.4,Medium,High,4.8
CMP011338,2025-06-18,Milk,Spoiled Products,2.3,Yes,4.0,16.0,Medium,Medium,4.4
CMP011339,2025-04-14,Curd,Taste Issue,1.7,No,,6.4,Medium,Medium,
CMP011340,2025-01-29,Ghee,Packaging Issue,4.1,No,,22.4,Low,Low,
CMP011341,2025-01-25,Paneer,Bad Smell,3.9,Yes,1.0,13.6,Medium,Low,3.9
CMP011342,2024-09-26,Lassi,Spoiled Products,2.3,No,,15.4,Low,Medium,
CMP011343,2025-07-14,Lassi,Packaging Issue,3.2,No,,5.3,Medium,Low,
CMP011344,2024-12-06,Milk,Spoiled Products,4.2,No,,14.1,Low,Low,
CMP011345,2024-11-11,Milk,Packaging Issue,3.7,No,,10.8,Medium,Low,
CMP011346,2024-08-10,Paneer,Taste Issue,1.8,No,,21.2,High,High,
CMP011347,2025-06-08,Paneer,Spoiled Products,4.5,No,,11.6,High,High,
CMP011348,2025-04-16,Milk,Bad Smell,4.7,Yes,2.0,13.9,Low,Medium,3.2
CMP011349,2025-02-20,Milk,Packaging Issue,2.9,No,,14.4,Medium,Medium,
CMP011350,2024-09-20,Curd,Packaging Issue,1.6,No,,17.9,Low,Low,
CMP011351,2025-01-23,Milk,Late Delivery,1.4,No,,14.1,Low,Low,
CMP011352,2025-01-09,Lassi,Late Delivery,1.7,No,,9.4,Low,Low,
CMP011353,2025-05-09,Paneer,Bad Smell,2.2,No,,17.4,Low,Low,
CMP011354,2025-01-02,Curd,Taste Issue,3.3,Yes,0.0,9.1,Low,Medium,4.2
CMP011355,2024-08-07,Paneer,Bad Smell,1.9,Yes,0.0,11.5,Low,Low,3.7
CMP011356,2024-11-23,Paneer,Spoiled Products,2.7,Yes,3.0,22.2,Low,Low,4.7
CMP011357,2025-03-23,Curd,Late Delivery,1.7,Yes,2.0,23.7,Medium,Low,4.5
CMP011358,2024-08-08,Lassi,Spoiled Products,4.6,No,,8.6,Medium,Low,
CMP011359,2025-04-01,Curd,Late Delivery,3.4,No,,12.4,Low,Low,
CMP011360,2025-07-20,Ghee,Bad Smell,3.8,No,,19.6,Medium,Low,
CMP011361,2025-07-24,Lassi,Spoiled Products,2.5,Yes,5.0,13.6,Low,Low,4.3
CMP011362,2024-12-18,Paneer,Packaging Issue,4.5,Yes,1.0,15.4,Medium,Low,3.7
CMP011363,2024-11-26,Paneer,Packaging Issue,3.6,Yes,3.0,22.1,Low,Medium,3.1
CMP011364,2024-08-09,Lassi,Spoiled Products,1.6,Yes,6.0,21.9,Low,Medium,4.4
CMP011365,2024-11-10,Milk,Spoiled Products,1.5,No,,19.7,Medium,Low,
CMP011366,2025-01-19,Lassi,Late Delivery,4.9,Yes,0.0,21.5,High,High,4.3
CMP011367,2024-09-14,Ghee,Packaging Issue,2.3,Yes,2.0,14.6,Medium,Medium,3.5
CMP011368,2025-06-15,Paneer,Late Delivery,2.5,Yes,1.0,12.1,Low,Low,3.6
CMP011369,2025-03-01,Curd,Late Delivery,3.6,No,,7.7,Low,Low,
CMP011370,2025-07-12,Lassi,Spoiled Products,1.1,No,,22.2,Low,Medium,
CMP011371,2024-08-19,Ghee,Bad Smell,4.7,Yes,6.0,22.7,Medium,Medium,4.1
CMP011372,2025-03-16,Lassi,Packaging Issue,4.3,Yes,0.0,21.0,Medium,Low,4.8
CMP011373,2024-08-06,Paneer,Late Delivery,3.2,Yes,6.0,17.8,Low,Medium,4.7
CMP011374,2025-06-26,Paneer,Taste Issue,1.6,Yes,0.0,14.9,High,Low,4.7
CMP011375,2024-09-20,Paneer,Taste Issue,4.6,Yes,2.0,5.6,Low,Low,3.5
CMP011376,2024-09-08,Curd,Bad Smell,3.3,Yes,0.0,16.2,Medium,Low,3.9
CMP011377,2024-11-14,Ghee,Packaging Issue,3.6,No,,15.5,Medium,Low,
CMP011378,2025-04-20,Milk,Taste Issue,3.4,Yes,5.0,9.4,Low,High,4.8
CMP011379,2024-11-28,Lassi,Spoiled Products,1.3,No,,4.7,Low,Low,
CMP011380,2024-10-05,Paneer,Late Delivery,3.7,No,,12.6,Low,Low,
CMP011381,2024-10-16,Paneer,Late Delivery,2.0,No,,21.1,Low,Medium,
CMP011382,2025-05-25,Paneer,Late Delivery,2.2,Yes,0.0,11.1,Low,Low,4.8
CMP011383,2025-07-01,Milk,Bad Smell,3.7,Yes,5.0,5.9,Low,Medium,5.0
CMP011384,2024-12-30,Ghee,Late Delivery,2.2,Yes,0.0,15.2,Low,Low,3.3
CMP011385,2025-02-18,Paneer,Taste Issue,4.0,Yes,0.0,4.2,Low,Low,3.3
CMP011386,2024-08-16,Curd,Taste Issue,1.3,No,,7.2,Low,Low,
CMP011387,2025-05-29,Paneer,Bad Smell,1.7,Yes,2.0,12.7,Low,Low,3.8
CMP011388,2025-02-12,Ghee,Late Delivery,2.5,No,,9.1,Low,High,
CMP011389,2025-05-07,Lassi,Late Delivery,3.6,No,,18.4,Medium,Low,
CMP011390,2024-10-07,Paneer,Packaging Issue,1.4,Yes,5.0,23.1,Low,Low,4.2
CMP011391,2024-10-01,Curd,Bad Smell,3.6,No,,16.1,Low,Medium,
CMP011392,2025-04-04,Curd,Late Delivery,4.1,No,,13.4,High,Low,
CMP011393,2024-09-06,Curd,Spoiled Products,1.4,Yes,3.0,12.0,Low,Medium,3.5
CMP011394,2024-08-20,Curd,Packaging Issue,1.4,Yes,5.0,16.6,Medium,Low,3.2
CMP011395,2024-11-11,Paneer,Spoiled Products,1.6,No,,12.5,Medium,High,
CMP011396,2025-06-13,Milk,Late Delivery,1.2,No,,17.6,Low,Low,
CMP011397,2024-12-31,Paneer,Packaging Issue,4.9,Yes,7.0,9.2,Medium,Low,3.8
CMP011398,2024-09-20,Paneer,Spoiled Products,1.6,No,,22.5,High,Low,
CMP011399,2025-06-27,Lassi,Taste Issue,4.8,No,,7.9,Medium,Medium,
CMP011400,2024-08-19,Milk,Spoiled Products,4.2,No,,4.1,Medium,Low,
CMP011401,2025-03-01,Paneer,Bad Smell,4.2,Yes,2.0,16.8,Low,Medium,3.2
CMP011402,2025-07-26,Curd,Taste Issue,3.8,Yes,1.0,9.3,Medium,Low,4.4
CMP011403,2025-07-19,Lassi,Late Delivery,4.2,No,,9.7,Low,Low,
CMP011404,2025-01-17,Curd,Taste Issue,3.9,No,,9.0,Low,Medium,
CMP011405,2025-01-18,Lassi,Taste Issue,3.9,Yes,3.0,17.4,Low,Low,3.4
CMP011406,2025-04-06,Lassi,Spoiled Products,3.3,Yes,0.0,13.2,High,Low,3.4
CMP011407,2025-03-30,Milk,Late Delivery,1.5,Yes,6.0,5.7,High,Medium,4.5
CMP011408,2025-04-06,Curd,Late Delivery,4.4,No,,10.2,Medium,Low,
CMP011409,2024-11-14,Ghee,Late Delivery,1.8,No,,5.4,Low,High,
CMP011410,2024-09-13,Curd,Packaging Issue,1.9,Yes,3.0,12.6,Medium,Medium,3.5
CMP011411,2025-03-29,Ghee,Late Delivery,2.1,No,,23.0,Low,Medium,
CMP011412,2025-05-05,Milk,Late Delivery,3.1,Yes,4.0,12.0,Low,Low,3.3
CMP011413,2025-03-21,Milk,Packaging Issue,2.9,Yes,6.0,20.0,Low,Low,4.1
CMP011414,2025-07-30,Lassi,Spoiled Products,3.7,Yes,4.0,22.3,Low,Medium,4.5
CMP011415,2025-01-04,Paneer,Taste Issue,3.2,No,,14.9,High,Medium,
CMP011416,2024-08-21,Paneer,Late Delivery,1.3,No,,10.2,Medium,High,
CMP011417,2024-12-09,Milk,Spoiled Products,2.5,Yes,4.0,8.4,Low,Medium,3.7
CMP011418,2025-03-06,Paneer,Late Delivery,1.9,Yes,3.0,11.5,Medium,High,3.6
CMP011419,2025-05-13,Paneer,Spoiled Products,3.3,Yes,6.0,23.9,Low,High,3.3
CMP011420,2025-04-21,Curd,Spoiled Products,4.4,No,,7.6,High,Low,
CMP011421,2025-01-01,Milk,Late Delivery,1.8,No,,21.9,Low,Low,
CMP011422,2025-05-04,Ghee,Packaging Issue,3.9,No,,21.4,Medium,Low,
CMP011423,2024-12-24,Lassi,Taste Issue,3.7,No,,11.3,Medium,Low,
CMP011424,2024-12-12,Curd,Taste Issue,3.8,No,,17.4,Medium,Low,
CMP011425,2025-05-08,Paneer,Packaging Issue,3.9,Yes,5.0,14.3,Low,Low,4.3
CMP011426,2025-06-27,Milk,Taste Issue,4.8,Yes,2.0,21.9,Low,Low,3.9
CMP011427,2025-04-22,Ghee,Packaging Issue,4.2,No,,19.6,Low,Medium,
CMP011428,2025-01-29,Ghee,Late Delivery,2.4,Yes,2.0,16.9,Low,Low,3.3
CMP011429,2025-02-02,Lassi,Spoiled Products,2.0,No,,8.0,Low,Medium,
CMP011430,2025-03-08,Lassi,Spoiled Products,1.6,Yes,5.0,23.1,Low,Medium,3.8
CMP011431,2024-08-21,Milk,Late Delivery,3.0,Yes,2.0,12.4,High,High,4.4
CMP011432,2025-04-12,Lassi,Taste Issue,2.5,No,,10.9,Low,Low,
CMP011433,2024-09-19,Ghee,Taste Issue,1.3,Yes,7.0,21.9,Medium,Low,3.5
CMP011434,2024-12-13,Milk,Bad Smell,1.5,Yes,5.0,10.1,Low,Low,3.1
CMP011435,2024-10-14,Ghee,Taste Issue,4.9,Yes,0.0,23.2,Low,Medium,4.1
CMP011436,2024-11-13,Milk,Taste Issue,2.0,No,,13.0,Medium,Low,
CMP011437,2025-02-27,Milk,Taste Issue,1.4,No,,21.5,Medium,Medium,
CMP011438,2025-07-21,Milk,Packaging Issue,4.0,No,,5.4,Low,Low,
CMP011439,2024-09-29,Curd,Packaging Issue,2.4,Yes,1.0,6.0,Low,High,4.0
CMP011440,2025-05-03,Lassi,Bad Smell,1.8,No,,16.4,Medium,Medium,
CMP011441,2024-12-17,Milk,Spoiled Products,2.5,No,,6.2,Low,Low,
CMP011442,2024-11-04,Lassi,Packaging Issue,1.0,No,,16.9,Medium,Low,
CMP011443,2025-07-17,Milk,Spoiled Products,1.4,Yes,5.0,18.3,Medium,Medium,3.5
CMP011444,2025-04-02,Curd,Late Delivery,3.0,No,,14.4,Low,Low,
CMP011445,2025-02-17,Ghee,Spoiled Products,2.7,No,,11.8,Low,Low,
CMP011446,2024-10-12,Lassi,Bad Smell,5.0,No,,9.4,Medium,Low,
CMP011447,2024-11-17,Ghee,Packaging Issue,3.3,No,,12.3,Low,High,
CMP011448,2024-10-28,Milk,Spoiled Products,4.0,Yes,6.0,6.8,Medium,Low,3.0
CMP011449,2024-08-25,Lassi,Bad Smell,2.1,No,,6.2,Low,Low,
CMP011450,2024-11-20,Curd,Spoiled Products,3.5,Yes,0.0,20.8,High,Low,4.1
CMP011451,2025-06-25,Ghee,Spoiled Products,4.1,No,,8.4,Low,Low,
CMP011452,2024-11-25,Lassi,Late Delivery,5.0,No,,5.6,Low,Low,
CMP011453,2024-11-04,Milk,Spoiled Products,4.3,Yes,3.0,9.7,Medium,Low,4.9
CMP011454,2024-12-26,Paneer,Packaging Issue,1.2,Yes,2.0,21.6,Low,Medium,3.0
CMP011455,2025-01-17,Lassi,Bad Smell,1.3,Yes,2.0,9.2,Low,Low,3.5
CMP011456,2024-12-05,Ghee,Taste Issue,1.7,Yes,4.0,21.2,Low,Medium,3.0
CMP011457,2024-12-05,Ghee,Taste Issue,2.1,Yes,0.0,16.7,Low,Low,5.0
CMP011458,2024-09-23,Ghee,Taste Issue,4.4,No,,11.7,Low,Medium,
CMP011459,2024-11-20,Lassi,Packaging Issue,1.2,Yes,1.0,8.5,Low,Low,3.0
CMP011460,2024-08-30,Paneer,Spoiled Products,2.1,Yes,7.0,17.8,Medium,Medium,4.9
CMP011461,2024-12-20,Curd,Packaging Issue,4.2,Yes,4.0,14.6,Low,Low,4.0
CMP011462,2025-06-26,Lassi,Spoiled Products,2.3,Yes,5.0,4.1,Low,Low,3.9
CMP011463,2025-02-09,Paneer,Bad Smell,1.8,No,,21.4,Medium,Medium,
CMP011464,2025-04-27,Lassi,Packaging Issue,3.7,No,,20.1,Medium,Low,
CMP011465,2025-01-02,Ghee,Late Delivery,1.7,No,,23.6,Low,Medium,
CMP011466,2025-07-06,Lassi,Late Delivery,4.8,Yes,7.0,17.8,Medium,Low,4.1
CMP011467,2024-08-19,Curd,Late Delivery,4.0,No,,13.6,Low,Low,
CMP011468,2025-06-30,Ghee,Packaging Issue,2.3,No,,11.4,Medium,Medium,
CMP011469,2025-05-25,Curd,Taste Issue,4.7,No,,12.0,Medium,Low,
CMP011470,2024-09-27,Lassi,Bad Smell,1.7,Yes,1.0,15.6,Low,Medium,4.5
CMP011471,2024-11-29,Lassi,Late Delivery,2.9,Yes,6.0,9.6,Low,Low,4.8
CMP011472,2025-03-19,Curd,Packaging Issue,1.6,No,,17.3,Medium,Low,
CMP011473,2025-06-11,Milk,Bad Smell,1.3,No,,13.1,Low,Medium,
CMP011474,2024-10-25,Curd,Taste Issue,2.8,No,,18.5,Low,Low,
CMP011475,2024-08-17,Lassi,Bad Smell,1.9,No,,17.8,Medium,Medium,
CMP011476,2025-05-28,Milk,Late Delivery,1.7,No,,20.5,Low,Low,
CMP011477,2024-12-01,Milk,Bad Smell,1.3,Yes,3.0,21.1,Low,Low,5.0
CMP011478,2025-07-07,Paneer,Spoiled Products,2.7,No,,18.5,Low,Low,
CMP011479,2024-10-05,Curd,Packaging Issue,1.3,Yes,5.0,10.9,Low,Low,4.2
CMP011480,2025-03-26,Paneer,Late Delivery,3.1,Yes,1.0,21.7,Medium,Medium,4.6
CMP011481,2025-04-24,Curd,Packaging Issue,1.1,No,,5.9,Low,Low,
CMP011482,2024-08-15,Paneer,Spoiled Products,3.5,No,,17.0,Medium,Low,
CMP011483,2025-02-07,Ghee,Late Delivery,3.7,Yes,4.0,14.5,Low,Low,4.7
CMP011484,2025-06-03,Lassi,Late Delivery,4.9,Yes,2.0,18.8,Low,Medium,4.2
CMP011485,2025-04-23,Curd,Late Delivery,3.9,No,,9.6,Low,Low,
CMP011486,2024-08-26,Lassi,Bad Smell,5.0,Yes,7.0,10.5,Low,High,4.8
CMP011487,2025-07-07,Ghee,Late Delivery,2.2,Yes,7.0,10.1,Medium,Medium,3.9
CMP011488,2024-08-19,Lassi,Taste Issue,4.1,No,,18.8,Low,High,
CMP011489,2025-07-13,Ghee,Packaging Issue,1.3,Yes,7.0,12.0,Low,Low,3.3
CMP011490,2025-07-19,Ghee,Taste Issue,3.7,No,,16.8,Medium,Low,
CMP011491,2025-02-14,Lassi,Packaging Issue,1.3,Yes,7.0,7.4,Medium,Medium,4.6
CMP011492,2025-03-25,Lassi,Taste Issue,1.5,No,,11.0,Medium,High,
CMP011493,2025-07-15,Milk,Taste Issue,4.3,Yes,4.0,20.9,High,Low,3.3
CMP011494,2025-02-24,Paneer,Taste Issue,3.0,No,,11.2,Low,Low,
CMP011495,2025-01-19,Milk,Packaging Issue,1.7,No,,23.8,High,Low,
CMP011496,2024-08-07,Paneer,Taste Issue,1.8,Yes,4.0,13.1,Low,Low,3.7
CMP011497,2025-07-10,Ghee,Late Delivery,1.6,No,,19.9,Medium,Low,
CMP011498,2024-11-01,Ghee,Spoiled Products,1.1,No,,16.6,Low,Low,
CMP011499,2024-10-10,Lassi,Packaging Issue,2.0,No,,5.9,Medium,Low,
CMP011500,2025-05-03,Lassi,Packaging Issue,2.6,Yes,0.0,23.1,Medium,Low,4.1
CMP011501,2024-09-27,Milk,Late Delivery,4.9,Yes,3.0,4.8,Low,Medium,3.4
CMP011502,2024-10-12,Ghee,Bad Smell,4.8,Yes,1.0,15.7,Medium,High,4.2
CMP011503,2025-06-02,Milk,Late Delivery,3.7,No,,19.3,Low,High,
CMP011504,2025-01-17,Ghee,Spoiled Products,2.6,No,,15.8,Low,Low,
CMP011505,2025-05-27,Paneer,Taste Issue,4.7,No,,23.4,High,Low,
CMP011506,2024-11-19,Milk,Taste Issue,2.1,No,,14.4,High,Low,
CMP011507,2025-04-22,Curd,Taste Issue,1.2,No,,13.9,Medium,Low,
CMP011508,2024-10-13,Paneer,Spoiled Products,2.1,Yes,3.0,21.1,Medium,Medium,4.2
CMP011509,2025-05-19,Curd,Spoiled Products,4.1,No,,6.6,Low,Low,
CMP011510,2025-05-08,Milk,Bad Smell,1.1,Yes,0.0,18.7,Medium,Medium,3.2
CMP011511,2024-11-14,Milk,Packaging Issue,3.7,Yes,6.0,13.6,Low,Low,3.5
CMP011512,2025-03-09,Milk,Packaging Issue,4.1,Yes,4.0,17.6,Low,Medium,3.1
CMP011513,2024-09-22,Ghee,Spoiled Products,3.0,No,,14.0,Medium,Low,
CMP011514,2025-02-05,Ghee,Packaging Issue,1.3,Yes,4.0,12.8,Medium,Low,3.3
CMP011515,2025-05-31,Curd,Taste Issue,1.4,No,,20.0,Low,Low,
CMP011516,2025-07-01,Curd,Spoiled Products,3.5,No,,16.3,High,Low,
CMP011517,2024-10-20,Curd,Late Delivery,3.7,No,,5.7,Low,Low,
CMP011518,2025-03-26,Lassi,Taste Issue,2.8,Yes,5.0,10.7,Low,Low,3.5
CMP011519,2025-03-02,Milk,Late Delivery,4.1,Yes,7.0,22.5,Medium,Medium,4.7
CMP011520,2024-09-09,Lassi,Spoiled Products,1.6,No,,11.9,Low,Low,
CMP011521,2025-07-19,Ghee,Taste Issue,2.4,Yes,7.0,23.9,Low,Medium,3.1
CMP011522,2024-12-25,Curd,Spoiled Products,2.6,No,,20.2,Medium,Low,
CMP011523,2024-11-05,Milk,Spoiled Products,2.1,No,,12.0,High,Medium,
CMP011524,2024-10-18,Curd,Late Delivery,1.5,No,,5.5,Low,Low,
CMP011525,2025-04-13,Milk,Taste Issue,2.0,Yes,3.0,20.3,Low,Medium,4.0
CMP011526,2024-09-14,Milk,Packaging Issue,3.6,No,,8.5,Low,Low,
CMP011527,2024-09-21,Lassi,Bad Smell,1.3,No,,7.1,High,Medium,
CMP011528,2025-03-16,Paneer,Bad Smell,1.9,Yes,1.0,11.1,Medium,Medium,3.3
CMP011529,2024-11-09,Lassi,Spoiled Products,3.7,Yes,5.0,15.8,Medium,High,4.1
CMP011530,2025-01-14,Ghee,Taste Issue,3.4,No,,13.9,Low,Medium,
CMP011531,2025-06-27,Ghee,Spoiled Products,4.0,No,,4.3,Low,Low,
CMP011532,2025-01-07,Milk,Taste Issue,4.2,No,,6.7,Low,Low,
CMP011533,2025-03-13,Paneer,Spoiled Products,4.9,Yes,7.0,6.3,Low,Medium,4.1
CMP011534,2025-03-30,Curd,Taste Issue,4.8,Yes,4.0,8.8,High,Low,4.2
CMP011535,2024-11-27,Paneer,Packaging Issue,2.9,Yes,3.0,10.2,Medium,Low,4.7
CMP011536,2025-07-18,Paneer,Spoiled Products,2.5,No,,13.6,Low,Low,
CMP011537,2025-07-31,Ghee,Taste Issue,4.4,No,,15.0,Low,Low,
CMP011538,2024-09-14,Lassi,Packaging Issue,4.0,Yes,4.0,4.7,High,Low,4.4
CMP011539,2024-08-19,Milk,Taste Issue,3.6,No,,5.0,Medium,Medium,
CMP011540,2025-05-28,Lassi,Spoiled Products,1.7,No,,8.2,Medium,Low,
CMP011541,2025-07-20,Curd,Packaging Issue,1.3,No,,18.9,Medium,Medium,
CMP011542,2024-11-05,Curd,Late Delivery,1.4,No,,18.3,Medium,Medium,
CMP011543,2025-02-10,Curd,Packaging Issue,3.3,Yes,7.0,18.2,Low,Medium,3.9
CMP011544,2024-12-01,Curd,Spoiled Products,2.1,No,,10.9,High,Low,
CMP011545,2025-01-11,Paneer,Taste Issue,4.6,Yes,6.0,10.6,Low,Low,3.4
CMP011546,2025-03-19,Milk,Packaging Issue,4.3,No,,5.7,Medium,Low,
CMP011547,2024-09-13,Ghee,Packaging Issue,1.6,No,,21.4,Low,Medium,
CMP011548,2025-03-11,Lassi,Spoiled Products,2.6,No,,10.1,Medium,Low,
CMP011549,2024-09-08,Paneer,Taste Issue,3.2,Yes,1.0,11.9,Low,Medium,4.8
CMP011550,2025-06-16,Lassi,Taste Issue,2.4,Yes,4.0,6.7,Medium,Medium,4.7
CMP011551,2024-09-29,Lassi,Late Delivery,4.4,Yes,3.0,5.1,Medium,Low,3.7
CMP011552,2025-02-28,Ghee,Late Delivery,4.8,No,,7.3,Low,Low,
CMP011553,2024-09-03,Milk,Spoiled Products,2.7,No,,21.7,Low,Low,
CMP011554,2025-01-24,Paneer,Packaging Issue,3.2,No,,11.1,Low,Medium,
CMP011555,2025-02-23,Paneer,Packaging Issue,5.0,Yes,7.0,22.8,Medium,Low,4.4
CMP011556,2025-01-15,Paneer,Packaging Issue,1.2,Yes,6.0,11.2,Low,Low,3.7
CMP011557,2024-12-26,Milk,Packaging Issue,1.9,Yes,0.0,19.1,Low,Medium,4.3
CMP011558,2025-03-24,Ghee,Late Delivery,3.0,No,,9.0,Low,Medium,
CMP011559,2025-04-21,Paneer,Spoiled Products,1.5,Yes,1.0,9.6,Medium,Medium,4.9
CMP011560,2024-09-23,Milk,Taste Issue,1.4,No,,11.0,High,Low,
CMP011561,2024-11-06,Lassi,Spoiled Products,1.7,No,,4.3,High,Medium,
CMP011562,2024-11-11,Ghee,Taste Issue,4.6,No,,21.4,Low,Low,
CMP011563,2025-03-07,Ghee,Bad Smell,2.0,Yes,2.0,8.2,Low,Low,4.0
CMP011564,2025-04-27,Lassi,Spoiled Products,3.2,No,,4.7,High,Low,
CMP011565,2024-11-04,Lassi,Late Delivery,1.6,Yes,3.0,9.2,High,High,3.3
CMP011566,2025-05-02,Paneer,Spoiled Products,1.4,Yes,7.0,21.6,Low,Medium,3.0
CMP011567,2024-10-31,Lassi,Taste Issue,4.9,No,,22.3,Low,Low,
CMP011568,2025-04-01,Curd,Taste Issue,3.5,Yes,7.0,22.1,Low,Low,4.4
CMP011569,2025-05-04,Curd,Bad Smell,1.8,No,,22.8,Low,Low,
CMP011570,2025-06-04,Curd,Packaging Issue,3.7,Yes,0.0,11.0,Low,Medium,4.5
CMP011571,2025-08-03,Ghee,Packaging Issue,4.2,No,,11.4,Low,Low,
CMP011572,2025-02-15,Milk,Taste Issue,1.8,Yes,7.0,10.2,Medium,Low,4.9
CMP011573,2025-04-08,Ghee,Spoiled Products,3.5,No,,16.0,Medium,Low,
CMP011574,2025-06-06,Curd,Late Delivery,1.9,Yes,3.0,16.9,Low,Low,4.6
